timestep,mkt_C_el,mkt_C_fuel,mkt_C_el1
891,33.9,20,33.9
892,44,20,44
893,19.51,20,19.51
894,28.99,20,28.99
895,32.97,20,32.97
896,25.62,20,25.62
897,23.64,20,23.64
898,31.22,20,31.22
899,12.18,20,12.18
900,31.71,20,31.71
901,31.26,20,31.26
902,15.42,20,15.42
903,14.66,20,14.66
904,35.96,20,35.96
905,43.28,20,43.28
906,35.99,20,35.99
907,31.11,20,31.11
908,33.12,20,33.12
909,30.68,20,30.68
910,29.98,20,29.98
911,31.12,20,31.12
912,31.3,20,31.3
913,32.63,20,32.63
914,23.6,20,23.6
915,24.58,20,24.58
916,25.5,20,25.5
917,27.55,20,27.55
918,24.93,20,24.93
919,25.99,20,25.99
920,25.96,20,25.96
921,24.06,20,24.06
922,27.57,20,27.57
923,26.76,20,26.76
924,29.51,20,29.51
925,24.65,20,24.65
926,28.03,20,28.03
927,24.6,20,24.6
928,28.81,20,28.81
929,27.7,20,27.7
930,24.04,20,24.04
931,28.03,20,28.03
932,25.9,20,25.9
933,29.48,20,29.48
934,33.88,20,33.88
935,42.58,20,42.58
936,28.07,20,28.07
937,11.16,20,11.16
938,30.04,20,30.04
939,31.62,20,31.62
940,13.02,20,13.02
941,17.7,20,17.7
942,10.63,20,10.63
943,11.04,20,11.04
944,10.54,20,10.54
945,27.97,20,27.97
946,14.68,20,14.68
947,14.23,20,14.23
948,10.88,20,10.88
949,25.31,20,25.31
950,10.5,20,10.5
951,9.72,20,9.72
952,9.36,20,9.36
953,17.29,20,17.29
954,36.81,20,36.81
955,31.23,20,31.23
956,19.16,20,19.16
957,13.02,20,13.02
958,35.79,20,35.79
959,23.08,20,23.08
960,12.87,20,12.87
961,33.59,20,33.59
962,48.3,20,48.3
963,41.69,20,41.69
964,21.73,20,21.73
965,54.94,20,54.94
966,23.86,20,23.86
967,23.9,20,23.9
968,46.88,20,46.88
969,59.94,20,59.94
970,30.06,20,30.06
971,23.08,20,23.08
972,47.44,20,47.44
973,26.84,20,26.84
974,45.43,20,45.43
975,22.22,20,22.22
976,52.18,20,52.18
977,51.47,20,51.47
978,57.89,20,57.89
979,31.99,20,31.99
980,43.66,20,43.66
981,52.61,20,52.61
982,46.83,20,46.83
983,45.99,20,45.99
984,45.04,20,45.04
985,33.04,20,33.04
986,29.45,20,29.45
987,54.1,20,54.1
988,32.15,20,32.15
989,30.01,20,30.01
990,30.78,20,30.78
991,33.38,20,33.38
992,47.98,20,47.98
993,55.92,20,55.92
994,29.96,20,29.96
995,30.75,20,30.75
996,28.05,20,28.05
997,45.08,20,45.08
998,27.86,20,27.86
999,31.98,20,31.98
1000,29.43,20,29.43
1001,55.34,20,55.34
1002,53.8,20,53.8
1003,56.48,20,56.48
1004,41,20,41
1005,32.41,20,32.41
1006,28.27,20,28.27
1007,34.92,20,34.92
1008,51.9,20,51.9
1009,37.5,20,37.5
1010,40.93,20,40.93
1011,26.02,20,26.02
1012,39.05,20,39.05
1013,32.53,20,32.53
1014,25.43,20,25.43
1015,34.18,20,34.18
1016,32.1,20,32.1
1017,31.73,20,31.73
1018,44.99,20,44.99
1019,29.04,20,29.04
1020,47,20,47
1021,30.51,20,30.51
1022,32.52,20,32.52
1023,27.55,20,27.55
1024,47.92,20,47.92
1025,32.52,20,32.52
1026,40.81,20,40.81
1027,28.28,20,28.28
1028,20.11,20,20.11
1029,55.53,20,55.53
1030,26.64,20,26.64
1031,28.83,20,28.83
1032,31.92,20,31.92
1033,32.82,20,32.82
1034,31.73,20,31.73
1035,58.69,20,58.69
1036,36.37,20,36.37
1037,8.34,20,8.34
1038,9.94,20,9.94
1039,29.7,20,29.7
1040,10.7,20,10.7
1041,68.92,20,68.92
1042,32.9,20,32.9
1043,11.4,20,11.4
1044,14.5,20,14.5
1045,48.66,20,48.66
1046,52.81,20,52.81
1047,32.09,20,32.09
1048,30.57,20,30.57
1049,33.94,20,33.94
1050,45.25,20,45.25
1051,42.91,20,42.91
1052,31.76,20,31.76
1053,40.75,20,40.75
1054,10.83,20,10.83
1055,42,20,42
1056,33.11,20,33.11
1057,46.92,20,46.92
1058,40,20,40
1059,30.92,20,30.92
1060,30.39,20,30.39
1061,48.94,20,48.94
1062,30.92,20,30.92
1063,24.78,20,24.78
1064,22.45,20,22.45
1065,53.48,20,53.48
1066,35.05,20,35.05
1067,28.01,20,28.01
1068,36.97,20,36.97
1069,25.36,20,25.36
1070,26.81,20,26.81
1071,31.43,20,31.43
1072,25.63,20,25.63
1073,33.99,20,33.99
1074,30.61,20,30.61
1075,31.48,20,31.48
1076,29.44,20,29.44
1077,31.5,20,31.5
1078,48.73,20,48.73
1079,36.2,20,36.2
1080,47.95,20,47.95
1081,8.42,20,8.42
1082,20.46,20,20.46
